subject,group,sex,dob,age_at_arrival,cage_num,PLX_admin,exclude,notes
71,PLX-EtOH,F,8/19/25,9_weeks,C00026501,s.c.,N,
72,PLX-EtOH,F,8/19/25,9_weeks,C00026501,s.c.,N,
51,PLX-EtOH,M,8/19/25,9_weeks,C00026487,s.c.,N,R hip scab
52,PLX-EtOH,M,8/19/25,9_weeks,C00026487,s.c.,Y_FDpre8,FD 11/4/25 pre-dose 8
65,PLX-EtOH,M,8/19/25,9_weeks,C00026486,s.c.,N,
66,PLX-EtOH,M,8/19/25,9_weeks,C00026486,s.c.,N,slightly blood brain
81,PLX-EtOH,M,8/19/25,9_weeks,C00026494,s.c.,N,
59,VEH-EtOH,F,8/19/25,9_weeks,C00026496,s.c.,N,
60,VEH-EtOH,F,8/19/25,9_weeks,C00026496,s.c.,N,
75,VEH-EtOH,F,8/19/25,9_weeks,C00026499,s.c.,N,slightly bloody brain
76,VEH-EtOH,F,8/19/25,9_weeks,C00026499,s.c.,N,bloody chest cavity
67,VEH-EtOH,M,8/19/25,9_weeks,C00026489,s.c.,Y_FDpre4,FD 11/3/25 pre-dose 4; swollen front right limb
68,VEH-EtOH,M,8/19/25,9_weeks,C00026489,s.c.,N,L back small scab; slightly bloody brain
69,VEH-EtOH,M,8/19/25,9_weeks,C00026488,s.c.,N,
70,VEH-EtOH,M,8/19/25,9_weeks,C00026488,s.c.,N,Bloody chest cavity
53,PLX-CON,F,8/19/25,9_weeks,C00026500,s.c.,N,"R hip scab, kidney damage"
54,PLX-CON,F,8/19/25,9_weeks,C00026500,s.c.,N,
77,PLX-CON,F,8/19/25,9_weeks,C00026497,s.c.,N,
78,PLX-CON,F,8/19/25,9_weeks,C00026497,s.c.,Y_FD_pre8,FD 11/4/25 pre-dose 8; bald patch/sore on R hip
61,PLX-CON,M,8/19/25,9_weeks,C00026491,s.c.,N,brain/body 0.5 mL tubes switched with 62
62,PLX-CON,M,8/19/25,9_weeks,C00026491,s.c.,N,Bloody brain; L back small scab; brain/body 0.5 mL tubes switched with 61
73,PLX-CON,M,8/19/25,9_weeks,C00026492,s.c.,N,
74,PLX-CON,M,8/19/25,9_weeks,C00026492,s.c.,N,
82,PLX-CON,M,8/19/25,9_weeks,C00026494,s.c.,N,
55,VEH-CON,F,8/19/25,9_weeks,C00026498,s.c.,N,
56,VEH-CON,F,8/19/25,9_weeks,C00026498,s.c.,N,
84,VEH-CON,F,8/19/25,9_weeks,C00026503,s.c.,N,R hip small bald spot
79,VEH-CON,F,8/19/25,9_weeks,C00026495,s.c.,N,
80,VEH-CON,F,8/19/25,9_weeks,C00026495,s.c.,N,
49,VEH-CON,M,8/19/25,9_weeks,C00026490,s.c.,N,R hip bald spot
50,VEH-CON,M,8/19/25,9_weeks,C00026490,s.c.,N,
57,VEH-CON,M,8/19/25,9_weeks,C00026493,s.c.,N,L hip small scab
58,VEH-CON,M,8/19/25,9_weeks,C00026493,s.c.,N,L/R hip small scab
